"","precio_gasoleo_a","rotulo","direccion","provincia"
"1",1.519,"BALLENOIL","CALLE VERSALLES, 17","MADRID"
"2",1.529,"PLENOIL","AVENIDA DE MADRID, 60","MADRID"
"3",1.529,"BEROIL","CALLE SIMON HERNANDEZ (DE), 73","MADRID"
"4",1.529,"BALLENOIL","CALLE CIRCUNVALACIÓN, 64","MADRID"
"5",1.529,"PLENOIL","AVENIDA DE LA CONSTITUCION, 249","MADRID"
"6",1.529,"GASEXPRESS","AVENIDA SOL, 50","MADRID"
"7",1.529,"BALLENOIL","CALLE OLMO, 1","MADRID"
"8",1.529,"PLENOIL","AVENIDA CONSTITUCIÓN, 1","MADRID"
"9",1.529,"PETROPRIX","AVENIDA DE LA CONSTITUCION, 287","MADRID"
"10",1.529,"BALLENOIL","CALLE CHARCA DE LOS PECES, 2","MADRID"
"11",1.537,"E.S. TERUGAS","CALLE SIMON HERNANDEZ, 75","MADRID"
"12",1.537,"PLENOIL","CALLE TORRES QUEVEDO, 2","MADRID"
"13",1.539,"PLENOIL","CALLE ESTACION, 40","MADRID"
"14",1.539,"BALLENOIL","CALLE CARRETERA DE EL ESCORIAL, 94","MADRID"
"15",1.539,"BALLENOIL","CL CRTA. DE TORRELODONES, 10","MADRID"
"16",1.539,"PLENOIL","CALLE COLMENAREJO, 54","MADRID"
"17",1.539,"BALLENOIL","CALLE DEL TRIGO, 5","MADRID"
"18",1.539,"PLENOIL","CALLE REY PASTOR, 3","MADRID"
"19",1.539,"PETROPRIX","CALLE RICARDO TORMO, 6","MADRID"
"20",1.539,"BALLENOIL","CALLE REY PASTOR, 16","MADRID"
"21",1.539,"PLENOIL","CALLE ALUMINIO, 8","MADRID"
"22",1.539,"BALLENOIL","CALLE ANGEL NIETO, 2","MADRID"
"23",1.539,"PETROL MÓSTOLES","CALLE TORRES QUEVEDO, 6","MADRID"
"24",1.545,"E.LECLERC","AVENIDA PREMIOS NOBEL, 1","MADRID"
"25",1.545,"LAVAPLUS","CARRETERA DE LA BASE KM. S/N","MADRID"
"26",1.549,"LAVAPLUS","AVENIDA DE EUROPA, 15","MADRID"
"27",1.549,"BALLENOIL","CALLE AZUELA, 73","MADRID"
"28",1.549,"BALLENOIL","CALLE ESCOFINA, 3","MADRID"
"29",1.549,"PLENOIL","CALLE AZUELA, 62","MADRID"
"30",1.549,"CARBURANTES REQUES","CALLE JUSTINA VELASCO MARTIN, 1","MADRID"
"31",1.549,"STORE FUEL","CALLE SOLANA, 56","MADRID"
"32",1.549,"FAST FUEL","CALLE MARIO VARGAS LLOSA, 4","MADRID"
"33",1.555,"CDT","CALLE ERATOSTENES, 15","MADRID"
"34",1.559,"TEB","CALLE ALMANZOR, 11","MADRID"
"35",1.559,"PLENOIL","AVENIDA LOS ROSALES, 15","MADRID"
"36",1.559,"BALLENOIL","AVENIDA OROVILLA, 22","MADRID"
"37",1.559,"BALLENOIL","CALLE REUS, 13","MADRID"
"38",1.559,"ION +","CALLE MUGUET, 12","MADRID"
"39",1.559,"PETROPRIX","CALLE SECOYA, 12","MADRID"
"40",1.559,"PETROPRIX","AVENIDA RONDA (DE), S/N","MADRID"
